,SHORTNAME,SYMBOL,TRADINGDATE,avail_vol,total_vol,limit_time,lock_time,break_time,high,close,FB_FLAG,ZB_FLAG,SECOND_FLAG
0,中源家居,603709,2025-09-08,76700,76700,92501080.0,93000000.0,150500000.0,185100.0,185100.0,1.0,0.0,1.0
1,山东玻纤,605006,2025-09-08,0,234200,93000080.0,93000170.0,150500000.0,85600.0,85600.0,1.0,0.0,0.0
2,天域生物,603717,2025-09-08,0,224800,93224260.0,93224320.0,93227130.0,89200.0,89200.0,1.0,1.0,0.0
3,傲农生物,603363,2025-09-08,0,388100,93342060.0,93342060.0,93357300.0,51700.0,51700.0,1.0,1.0,0.0
4,济民健康,603222,2025-09-08,0,174100,93353250.0,93353250.0,93923930.0,115600.0,115600.0,1.0,1.0,0.0
5,德才股份,605287,2025-09-08,0,108600,93408170.0,93408300.0,93411960.0,185700.0,180000.0,0.0,1.0,0.0
6,日盈电子,603286,2025-09-08,0,60100,93546130.0,93546130.0,103806310.0,337200.0,337200.0,1.0,1.0,0.0
7,中体产业,600158,2025-09-08,0,200300,93555860.0,93555860.0,93606810.0,101000.0,101000.0,1.0,1.0,0.0
8,卧龙新能,600173,2025-09-08,100,292400,93558190.0,93558280.0,150500000.0,69400.0,69400.0,1.0,0.0,0.0
9,泰禾智能,603656,2025-09-08,0,94500,94123970.0,94124020.0,94229450.0,212900.0,212900.0,1.0,1.0,0.0
10,春光科技,603657,2025-09-08,0,44800,100433110.0,100433110.0,150500000.0,446200.0,446200.0,1.0,0.0,0.0
11,南都物业,603506,2025-09-08,0,136600,103224650.0,103224710.0,103226430.0,148400.0,141000.0,0.0,1.0,0.0
12,森特股份,603098,2025-09-08,100,128600,112533160.0,112533160.0,150500000.0,156800.0,156800.0,1.0,0.0,0.0
13,金鸿顺  ,603922,2025-09-08,100,83000,130542240.0,130542300.0,150500000.0,243500.0,243500.0,1.0,0.0,0.0
14,西藏药业,600211,2025-09-08,0,36000,134623600.0,134623750.0,134723440.0,555300.0,555300.0,1.0,1.0,0.0
15,福然德  ,605050,2025-09-08,100,100000,140604760.0,140604760.0,150500000.0,202400.0,202400.0,1.0,0.0,0.0
16,嘉澳环保,603822,2025-09-08,100,23800,144410150.0,144410170.0,150500000.0,846900.0,846900.0,1.0,0.0,0.0
